Rocket|mission|Agency|date|Location|Remaining date
SSLV|Demo 1|Indian Space Research Organization|30/04/2019|Sriharikota, Republic of India|
Soyuz 2.1B|Uzlovoy Module (UM) ?Prichal?|Khrunichev State Research and Production Space Center|30/04/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Soyuz-FG|Soyuz MS-12|Russian Federal Space Agency (ROSCOSMOS)|04/04/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Soyuz 2.1A|Soyuz MS-15|Russian Federal Space Agency (ROSCOSMOS)|14/04/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Ariane 5 ECA|unknown & Global Xpress-5|Arianespace|31/08/2019|Kourou, French Guiana|
Soyuz 2.1A|Soyuz MS Uncrewed|Russian Federal Space Agency (ROSCOSMOS)|22/08/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Falcon Heavy|AFSPC-52|SpaceX|31/08/2019|Kennedy Space Center, FL, USA|
Atlas V N22|CST-100 Starliner Crewed Flight Test (Crewed)|United Launch Alliance|31/08/2019|Cape Canaveral, FL, USA|
Soyuz STA/Fregat|Cheops & CSG-1|Arianespace|13/12/2018|Kourou, French Guiana|
Soyuz STB/Fregat|O3b FM17-20|Arianespace|31/12/2018|Kourou, French Guiana|
Soyuz STB/Fregat|Euclid|Arianespace|31/12/2018|Kourou, French Guiana|
Soyuz STB/Fregat|METOP-SG A1|Arianespace|31/12/2018|Kourou, French Guiana|
Soyuz STB/Fregat|METOP-SG B1|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|GSAT-11|Arianespace|03/12/2018|Kourou, French Guiana|
Vega|Proba-3|Arianespace|31/12/2018|Kourou, French Guiana|
Vega|SSMS (Small Spacecraft Mission Service)|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|JCSAT-17 & unknown|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|Star One D2 & unknown|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|Eutelsat 7C|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|unknown & Eutelsat Quantum|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|African Broadband Satellite|Arianespace|31/12/2018|Kourou, French Guiana|
Vega|CERES|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|Galaxy 30 and MEV-2|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|Unknown satellite for Intelsat|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|BSAT-4b & Unknown|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|SES-17|Arianespace|31/12/2018|Kourou, French Guiana|
Ariane 5 ECA|JUICE (JUpiter ICy moons Explorer)|Arianespace|31/12/2018|Kourou, French Guiana|
Vega|NAOS|Arianespace|31/12/2018|Kourou, French Guiana|
Vega|THEOS-2|Arianespace|31/12/2018|Kourou, French Guiana|
Long March 3B/E|Chang'e 4 (lander and rover)|China Aerospace Science and Technology Corporation|07/12/2018|Xichang Satellite Launch Center, People's Republic of China|
Long March 4B|CBERS-4A|China Aerospace Science and Technology Corporation|31/12/2018|Taiyuan, People's Republic of China|
Long March 3B/E|APStar-6D|China Aerospace Science and Technology Corporation|31/12/2018|Xichang Satellite Launch Center, People's Republic of China|
Long March 5|Chang'e 5|China Aerospace Science and Technology Corporation|31/12/2018|Wenchang Satellite Launch Center, People's Republic of China|
Long March 3B|TCSTAR-1|China Aerospace Science and Technology Corporation|31/12/2018|Xichang Satellite Launch Center, People's Republic of China|
Long March 3B|Fengyun-4B|China Aerospace Science and Technology Corporation|31/12/2018|Xichang Satellite Launch Center, People's Republic of China|
Long March 4C|Fengyun-3E|China Aerospace Science and Technology Corporation|31/12/2018|Unknown Location|
Long March 5|Shijian 20|China Aerospace Science and Technology Corporation|31/12/2018|Wenchang Satellite Launch Center, People's Republic of China|
Long March 5|Tianhe-1|China Aerospace Science and Technology Corporation|31/12/2018|Jiuquan, People's Republic of China|
Long March 7|Tianzhou-2|China Aerospace Science and Technology Corporation|31/12/2018|Wenchang Satellite Launch Center, People's Republic of China|
Long March 2F|Shenzhou 12|China Aerospace Science and Technology Corporation|31/12/2018|Jiuquan, People's Republic of China|
Long March 3B|Palapa-N1|China Aerospace Science and Technology Corporation|31/12/2018|Xichang Satellite Launch Center, People's Republic of China|
Long March ?|Fengyun-4C|China Aerospace Science and Technology Corporation|31/12/2018|Unknown Location|
GSLV Mk II|GiSat-1|Indian Space Research Organization|31/12/2018|Sriharikota, Republic of India|
PSLV|RISAT-2B|Indian Space Research Organization|31/12/2018|Sriharikota, Republic of India|
PSLV XL|Aditya-L1|Indian Space Research Organization|31/12/2018|Sriharikota, Republic of India|
